,DATE,FEDFUNDS,VAL_VALUE,GR_VALUE
0,1978-06-01,7.6,1000.0,1000.0
1,1978-07-01,7.81,1050.41,1065.75
2,1978-08-01,8.04,1123.75,1150.21
3,1978-09-01,8.45,1115.76,1132.97
4,1978-10-01,8.96,929.14,903.37
5,1978-11-01,9.76,960.87,969.18
6,1978-12-01,10.03,971.51,999.91
7,1979-01-01,10.07,1050.95,1078.43
8,1979-02-01,10.06,1027.92,1051.27
9,1979-03-01,10.09,1117.7,1164.33
10,1979-04-01,10.01,1143.7,1189.18
11,1979-05-01,10.24,1136.87,1169.04
12,1979-06-01,10.29,1207.72,1243.6
13,1979-07-01,10.47,1256.69,1271.57
14,1979-08-01,10.94,1343.7,1377.52
15,1979-09-01,11.43,1319.45,1384.86
16,1979-10-01,13.77,1170.72,1255.49
17,1979-11-01,13.18,1241.39,1379.58
18,1979-12-01,13.78,1287.89,1476.36
19,1980-01-01,13.82,1378.41,1589.4
20,1980-02-01,14.13,1327.41,1568.71
21,1980-03-01,17.19,1115.98,1272.41
22,1980-04-01,17.61,1192.16,1361.9
23,1980-05-01,10.98,1292.68,1471.27
24,1980-06-01,9.47,1345.11,1550.97
25,1980-07-01,9.03,1455.48,1734.98
26,1980-08-01,9.61,1508.3,1844.49
27,1980-09-01,10.87,1529.22,1928.03
28,1980-10-01,12.81,1553.4,2002.53
29,1980-11-01,15.85,1602.36,2196.57
30,1980-12-01,18.9,1580.15,2113.54
31,1981-01-01,19.08,1602.4,2047.26
32,1981-02-01,15.93,1645.04,2058.75
33,1981-03-01,14.7,1776.05,2210.29
34,1981-04-01,15.72,1833.27,2261.2
35,1981-05-01,18.52,1872.84,2341.06
36,1981-06-01,19.1,1885.98,2256.01
37,1981-07-01,19.04,1857.17,2190.18
38,1981-08-01,17.82,1766.96,1999.85
39,1981-09-01,15.87,1671.32,1814.55
40,1981-10-01,15.08,1760.35,1988.22
41,1981-11-01,13.31,1846.68,2027.62
42,1981-12-01,12.37,1818.09,1984.6
43,1982-01-01,13.22,1777.07,1887.95
44,1982-02-01,14.78,1737.55,1766.7
45,1982-03-01,14.68,1749.18,1723.56
46,1982-04-01,14.94,1830.07,1835.02
47,1982-05-01,14.45,1789.08,1775.75
48,1982-06-01,14.15,1751.08,1717.65
49,1982-07-01,12.59,1733.25,1699.0
50,1982-08-01,10.12,1902.59,1842.97
51,1982-09-01,10.31,1974.78,1916.74
52,1982-10-01,9.71,2228.89,2207.28
53,1982-11-01,9.2,2389.35,2422.4
54,1982-12-01,8.95,2394.85,2454.72
55,1983-01-01,8.68,2520.19,2631.31
56,1983-02-01,8.51,2660.44,2769.17
57,1983-03-01,8.77,2807.27,2851.94
58,1983-04-01,8.8,3009.65,3088.11
59,1983-05-01,8.63,3145.89,3280.68
60,1983-06-01,8.98,3226.96,3472.57
61,1983-07-01,9.37,3239.55,3297.1
62,1983-08-01,9.56,3202.29,3143.22
63,1983-09-01,9.45,3317.86,3179.37
64,1983-10-01,9.48,3209.54,2918.57
65,1983-11-01,9.34,3346.74,3068.08
66,1983-12-01,9.47,3352.37,2975.46
67,1984-01-01,9.56,3377.41,2838.47
68,1984-02-01,9.59,3243.29,2656.83
69,1984-03-01,9.91,3301.7,2663.45
70,1984-04-01,10.29,3295.53,2652.29
71,1984-05-01,10.32,3128.94,2509.28
72,1984-06-01,11.06,3180.91,2626.56
73,1984-07-01,11.23,3096.52,2492.08
74,1984-08-01,11.64,3420.7,2837.34
75,1984-09-01,11.3,3469.34,2776.73
76,1984-10-01,9.99,3466.29,2716.5
77,1984-11-01,9.43,3482.89,2630.69
78,1984-12-01,8.38,3562.13,2687.98
79,1985-01-01,8.35,3893.05,3054.95
80,1985-02-01,8.5,3966.43,3144.37
81,1985-03-01,8.58,3946.36,3070.25
82,1985-04-01,8.27,3973.27,3040.26
83,1985-05-01,7.97,4123.46,3179.68
84,1985-06-01,7.53,4224.94,3248.11
85,1985-07-01,7.88,4331.28,3326.81
86,1985-08-01,7.9,4317.47,3305.69
87,1985-09-01,7.92,4103.54,3119.11
88,1985-10-01,7.99,4246.83,3253.92
89,1985-11-01,8.05,4538.29,3489.25
90,1985-12-01,8.27,4723.32,3627.11
91,1986-01-01,8.14,4783.4,3704.33
92,1986-02-01,7.86,5147.03,3959.04
93,1986-03-01,7.48,5398.11,4176.23
94,1986-04-01,6.99,5396.92,4269.86
95,1986-05-01,6.85,5585.33,4495.69
96,1986-06-01,6.92,5606.72,4576.53
97,1986-07-01,6.56,5193.67,4141.16
98,1986-08-01,6.17,5435.02,4304.57
99,1986-09-01,5.89,5161.2,3976.22
100,1986-10-01,5.85,5287.19,4140.99
101,1986-11-01,6.04,5257.0,4156.27
102,1986-12-01,6.91,5157.12,4063.42
103,1987-01-01,6.43,5720.58,4586.51
104,1987-02-01,6.1,6075.54,4971.64
105,1987-03-01,6.13,6153.86,5118.1
106,1987-04-01,6.37,5994.78,4973.31
107,1987-05-01,6.85,5988.07,4974.15
108,1987-06-01,6.73,6119.03,5081.1
109,1987-07-01,6.58,6330.01,5269.2
110,1987-08-01,6.73,6563.02,5424.8
111,1987-09-01,7.22,6413.38,5321.84
112,1987-10-01,7.29,4751.87,3651.31
113,1987-11-01,6.69,4560.08,3449.69
114,1987-12-01,6.77,4827.71,3824.63
115,1988-01-01,6.83,5123.07,3911.15
116,1988-02-01,6.58,5502.69,4235.62
117,1988-03-01,6.58,5627.77,4412.2
118,1988-04-01,6.87,5701.6,4493.21
119,1988-05-01,7.09,5623.66,4400.47
120,1988-06-01,7.51,6010.63,4711.62
121,1988-07-01,7.75,6012.19,4605.71
122,1988-08-01,8.01,5915.69,4460.77
123,1988-09-01,8.19,6087.84,4568.98
124,1988-10-01,8.3,6096.12,4524.53
125,1988-11-01,8.35,5938.66,4398.02
126,1988-12-01,8.76,6086.06,4580.89
127,1989-01-01,9.12,6411.42,4819.28
128,1989-02-01,9.36,6464.05,4851.28
129,1989-03-01,9.85,6614.67,4959.71
130,1989-04-01,9.84,6853.26,5238.29
131,1989-05-01,9.81,7082.43,5482.29
132,1989-06-01,9.53,7040.22,5331.31
133,1989-07-01,9.24,7282.82,5588.39
134,1989-08-01,8.99,7553.96,5706.19
135,1989-09-01,9.02,7583.95,5693.52
136,1989-10-01,8.84,7106.01,5391.99
137,1989-11-01,8.55,7085.76,5487.43
138,1989-12-01,8.45,7070.38,5526.34
139,1990-01-01,8.23,6513.94,5051.62
140,1990-02-01,8.24,6679.79,5215.35
141,1990-03-01,8.28,6828.21,5432.57
142,1990-04-01,8.26,6517.94,5263.02
143,1990-05-01,8.18,6889.4,5698.01
144,1990-06-01,8.29,6832.63,5741.65
145,1990-07-01,8.15,6544.22,5517.9
146,1990-08-01,8.13,5823.84,4736.79
147,1990-09-01,8.2,5329.8,4290.58
148,1990-10-01,8.11,4993.6,4078.03
149,1990-11-01,7.81,5324.12,4426.66
150,1990-12-01,7.31,5532.72,4653.79
151,1991-01-01,6.91,5893.73,5079.42
152,1991-02-01,6.25,6537.27,5632.27
153,1991-03-01,6.12,6884.66,5968.91
154,1991-04-01,5.91,6993.37,5896.68
155,1991-05-01,5.78,7269.19,6147.76
156,1991-06-01,5.9,7059.54,5818.8
157,1991-07-01,5.82,7328.93,6092.51
158,1991-08-01,5.66,7556.64,6378.74
159,1991-09-01,5.45,7517.58,6424.16
160,1991-10-01,5.21,7649.28,6640.52
161,1991-11-01,4.81,7294.2,6267.33
162,1991-12-01,4.43,7824.13,6968.76
163,1992-01-01,4.03,8391.15,7422.63
164,1992-02-01,4.06,8740.76,7545.54
165,1992-03-01,3.98,8577.0,7158.94
166,1992-04-01,3.73,8519.04,6782.22
167,1992-05-01,3.82,8651.9,6758.28
168,1992-06-01,3.76,8466.29,6428.77
169,1992-07-01,3.25,8705.95,6698.51
170,1992-08-01,3.3,8460.18,6490.63
171,1992-09-01,3.22,8593.9,6669.15
172,1992-10-01,3.1,8737.94,6976.64
173,1992-11-01,3.09,9237.97,7607.48
174,1992-12-01,2.92,9603.41,7840.69
175,1993-01-01,3.02,9997.5,8024.29
176,1993-02-01,3.03,10018.26,7710.64
177,1993-03-01,3.07,10389.92,7985.61
178,1993-04-01,2.96,10116.91,7715.48
179,1993-05-01,3.0,10498.7,8045.66
180,1993-06-01,3.04,10620.81,8105.75
181,1993-07-01,3.06,10805.03,8166.19
182,1993-08-01,3.03,11201.32,8588.85
183,1993-09-01,3.09,11330.58,8906.22
184,1993-10-01,2.99,11647.41,9030.68
185,1993-11-01,3.02,11389.23,8690.99
186,1993-12-01,2.96,11800.56,9026.65
187,1994-01-01,3.05,12242.89,9241.19
188,1994-02-01,3.25,12154.5,9244.49
189,1994-03-01,3.34,11550.69,8682.99
190,1994-04-01,3.56,11594.08,8653.67
191,1994-05-01,4.01,11544.9,8535.27
192,1994-06-01,4.25,11396.89,8182.52
193,1994-07-01,4.26,11662.46,8391.55
194,1994-08-01,4.47,12197.35,8960.66
195,1994-09-01,4.73,12186.83,8891.07
196,1994-10-01,4.76,12041.47,8980.74
197,1994-11-01,5.29,11487.72,8578.57
198,1994-12-01,5.45,11757.1,8817.29
199,1995-01-01,5.53,11709.12,8691.86
200,1995-02-01,5.92,12169.08,9122.72
201,1995-03-01,5.98,12353.24,9407.88
202,1995-04-01,6.05,12692.92,9502.26
203,1995-05-01,6.01,12897.8,9685.96
204,1995-06-01,6.0,13408.37,10262.96
205,1995-07-01,5.85,14024.76,11085.72
206,1995-08-01,5.74,14326.96,11224.47
207,1995-09-01,5.8,14460.82,11546.95
208,1995-10-01,5.76,13804.59,11210.12
209,1995-11-01,5.8,14469.78,11681.96
210,1995-12-01,5.6,14912.93,11892.32
211,1996-01-01,5.56,14985.12,11747.5
212,1996-02-01,5.22,15296.61,12238.94
213,1996-03-01,5.31,15709.96,12479.86
214,1996-04-01,5.22,16333.44,13365.62
215,1996-05-01,5.24,16888.35,13812.97
216,1996-06-01,5.27,16583.74,13119.26
217,1996-07-01,5.4,15555.76,11918.85
218,1996-08-01,5.22,16336.2,12681.54
219,1996-09-01,5.3,16902.19,13347.86
220,1996-10-01,5.24,17072.95,12897.82
221,1996-11-01,5.31,17892.2,13353.12
222,1996-12-01,5.29,18244.61,13481.18
223,1997-01-01,5.25,18657.6,13711.42
224,1997-02-01,5.19,18624.93,13169.15
225,1997-03-01,5.39,18090.51,12279.37
226,1997-04-01,5.51,18095.33,12251.48
227,1997-05-01,5.5,19983.29,13739.63
228,1997-06-01,5.56,21004.4,14528.13
229,1997-07-01,5.52,22207.74,15406.59
230,1997-08-01,5.54,22568.3,15681.24
231,1997-09-01,5.54,24141.77,16840.71
232,1997-10-01,5.5,23234.88,16043.15
233,1997-11-01,5.52,23242.07,15840.12
234,1997-12-01,5.5,23811.53,16150.36
235,1998-01-01,5.56,23562.36,15978.84
236,1998-02-01,5.51,25210.97,17372.29
237,1998-03-01,5.49,26456.06,18132.5
238,1998-04-01,5.45,26529.48,18281.92
239,1998-05-01,5.49,25416.67,17120.91
240,1998-06-01,5.56,25341.66,17551.8
241,1998-07-01,5.54,23631.35,16279.74
242,1998-08-01,5.55,19742.92,12633.99
243,1998-09-01,5.51,20931.63,13606.95
244,1998-10-01,5.07,21773.06,14406.18
245,1998-11-01,4.83,22516.75,15475.09
246,1998-12-01,4.68,23372.73,16834.4
247,1999-01-01,4.63,23285.98947368421,17202.896315789472
248,1999-02-01,4.76,21997.94631578947,16531.96947368421
249,1999-03-01,4.81,21577.13086956522,16583.76391304348
250,1999-04-01,4.74,22663.69761904762,17434.984285714287
251,1999-05-01,4.74,24521.1,18142.3485
252,1999-06-01,4.76,24925.610909090905,18193.58409090909
253,1999-07-01,4.99,25712.91,19368.632857142857
254,1999-08-01,5.07,24865.80863636364,18165.053636363635
255,1999-09-01,5.22,24449.970476190476,18539.00047619048
256,1999-10-01,5.2,23556.74095238095,18347.66
257,1999-11-01,5.42,24299.469523809523,21078.975714285712
258,1999-12-01,5.3,23953.76681818182,23551.552727272727
259,2000-01-01,5.45,24363.487,25422.7255
260,2000-02-01,5.73,24170.872,28276.006
261,2000-03-01,5.85,25144.865217391307,30731.797391304346
262,2000-04-01,6.02,24707.101578947368,23178.432631578948
263,2000-05-01,6.27,24985.271363636362,22031.000454545454
264,2000-06-01,6.53,25525.320000000003,23793.18181818182
265,2000-07-01,6.54,25957.701,24648.413
266,2000-08-01,6.5,26538.820869565217,23357.55695652174
267,2000-09-01,6.52,27035.766499999998,23909.677499999998
268,2000-10-01,6.51,25814.116363636367,20995.79727272727
269,2000-11-01,6.51,26411.443333333336,19979.52380952381
270,2000-12-01,6.4,26879.1575,18011.201999999997
271,2001-01-01,5.98,28358.280476190477,18494.63238095238
272,2001-02-01,5.49,29241.825263157898,18231.20736842105
273,2001-03-01,5.31,28282.970454545455,15578.221363636363
